"Year","Month","Day","Wind","Temperature","Humidity","Cloud"
2024,1,1,1.47835617775156,3.5,94,7.7
2024,1,2,1.29497913432546,5.1,82.3,7.3
2024,1,3,2.38697542975411,7.3,87.5,7.3
2024,1,4,4.08305357100467,7.5,84.5,7.3
2024,1,5,2.16816804953585,2.5,82.5,7.7
2024,1,6,1.40642848709996,1.2,93,8
2024,1,7,3.08439983155455,-3.9,89,8
2024,1,8,1.71188342236125,-9.6,82.8,4
2024,1,9,1.74058504300006,-14.2,82.3,1
2024,1,10,0.701414074224918,-11.3,83,0
2024,1,11,3.10131134764596,-5.2,77.5,5.3
2024,1,12,2.08163647419867,-2.4,80,5
2024,1,13,3.5411926868181,-0.5,80.8,8
2024,1,14,2.48690777489549,0.2,87.5,7.7
2024,1,15,3.86929827261286,1.3,70,6.3
2024,1,16,2.81148013852869,-0.6,84,6.7
2024,1,17,1.1981394128361,-4,82.3,4.3
2024,1,18,1.9476228095896,2.4,95,8
2024,1,19,1.73295559731158,-1.3,81,7.3
2024,1,20,3.81924696532454,-0.5,71.5,2.7
2024,1,21,1.45289380784082,0.7,78.8,5
2024,1,22,1.82523605628735,1.4,57.8,6
2024,1,23,2.91105590265655,4.3,86.8,7
2024,1,24,2.23627338766813,5.5,78.3,5.7
2024,1,25,5.3696925493959,6.3,69,7.3
2024,1,26,1.31147784644274,3.3,87.8,7.7
2024,1,27,4.14308626611537,3.7,83.3,8
2024,1,28,0.59112801184965,2.3,91.5,8
2024,1,29,0.351834017433788,1.5,83.3,0.7
2024,1,30,1.07190574532103,1.3,79,0.3
2024,1,31,2.41893482789563,1.4,77.8,7.3
2024,2,1,2.93575096602072,2.8,89,6
2024,2,2,3.19330612398004,4.4,70.5,6.3
2024,2,3,4.30260094362714,7,78.8,8
2024,2,4,4.54325779821138,7.4,83.3,7.3
2024,2,5,5.32183393403969,8.2,84,8
2024,2,6,5.51736670496832,8.8,60,7
2024,2,7,4.07414878049777,6.6,67.8,7.7
2024,2,8,1.36888253691369,1.8,88,8
2024,2,9,2.2729323516738,3.7,95.8,5.3
2024,2,10,0.978344348426763,7.5,91.8,6
2024,2,11,1.63791140184501,8,95.3,8
2024,2,12,2.01589814133995,8.2,79.8,7.3
2024,2,13,2.44464157555518,4.9,76.5,7
2024,2,14,1.54744661740692,4.9,70.3,4.3
2024,2,15,0.354783830113561,8.2,72,5.7
2024,2,16,1.32004691669717,6.8,81.8,3
2024,2,17,2.25292040643749,6,93,7.3
2024,2,18,1.70524653281188,4.5,68,6
2024,2,19,2.35358148984312,3.6,83.8,8
2024,2,20,2.46172363745831,6.9,86.8,7.7
2024,2,21,1.80509055024779,6.2,81,5.3
2024,2,22,1.38636432074476,6.8,73.8,7.7
2024,2,23,1.16284801127501,8.5,87,7.7
2024,2,24,1.82389155300288,9,70,6.3
2024,2,25,0.379867900673869,7.5,71.3,5.7
2024,2,26,1.16119284973378,7.6,79.3,4
2024,2,27,1.25399655642011,10.7,77.3,6.3
2024,2,28,1.41503324335586,11.1,84.5,7
2024,2,29,2.29416355038104,9.9,83.8,6.3
2024,3,1,1.71296885475842,8.3,88.5,7.7
2024,3,2,1.10351916929331,7.8,87.8,8
2024,3,3,3.1953024513738,9.6,80.8,5.3
2024,3,4,2.26672162189011,8.4,86,7.7
2024,3,5,2.24597359614481,7.7,91.5,8
2024,3,6,3.03948582338163,3.2,94.8,7.3
2024,3,7,3.68816489806296,2.4,82.8,8
2024,3,8,1.6999375103573,2.4,77.3,4
2024,3,9,2.10301134405418,3.9,83.3,4.7
2024,3,10,2.65357302995132,7.4,76,7.7
2024,3,11,2.51435049880931,8.7,89,8
2024,3,12,2.58195415843856,7.6,95.5,8
2024,3,13,1.21602223744592,7.1,92,8
2024,3,14,1.57261235626159,6,88,7.7
2024,3,15,2.13315350743472,5.9,85.5,7
2024,3,16,1.33352227285217,9.4,82.3,5
2024,3,17,3.3972523515463,6.6,60,3.3
2024,3,18,2.03401403959729,2.5,72.3,7.3
2024,3,19,2.03737660287512,4.5,73.3,3.3
2024,3,20,1.32978313790635,5,73,3.3
2024,3,21,1.86329413033904,7.5,71,6.3
2024,3,22,1.65078317518759,10.4,80.8,7
2024,3,23,3.71774601789129,11.7,76.8,7
2024,3,24,1.76790398795248,5.8,83.3,6.3
2024,3,25,1.47915050082583,4.8,83.3,7
2024,3,26,2.04306112797506,6.7,75.3,4
2024,3,27,2.29286831439606,10.8,63.8,3.7
2024,3,28,2.53924480314735,13.1,68.5,6.3
2024,3,29,1.36429287673772,11.8,69.5,2
2024,3,30,2.102868926776,14.9,65,3.7
2024,3,31,1.70353245625652,17.7,59.5,4.3
2024,4,1,2.44053614391526,18.6,60.5,7.3
2024,4,2,3.35884182796525,12,95,7.3
2024,4,3,4.34464189987204,12.4,63.5,6.7
2024,4,4,2.03084755485148,12.5,71.5,5.7
2024,4,5,1.92398199637647,14.1,63.8,5.3
2024,4,6,2.77212039486118,16.2,62.5,5.7
2024,4,7,1.34649953284217,16.5,72.5,4
2024,4,8,1.30809161572789,19.2,59.3,4.7
2024,4,9,1.97435044937594,18.9,56.8,4.7
2024,4,10,2.30060981215859,15.8,71.3,8
2024,4,11,1.264450826969,13.5,66.5,5.7
2024,4,12,1.93638134664441,13.8,66.5,3
2024,4,13,3.19061657318441,16,62.5,5.7
2024,4,14,2.9410937357266,16.4,68.5,6.3
2024,4,15,1.27724288927796,12.5,90.8,8
2024,4,16,3.18042412571469,9.3,64.5,6.7
2024,4,17,2.48851330061499,5.5,80.3,7.7
2024,4,18,1.99920452172092,5.3,78.5,4.7
2024,4,19,2.80573635746961,6.7,64.5,6
2024,4,20,1.29891138395562,7.5,84.3,7.3
2024,4,21,1.57384261588882,4.3,90.8,8
2024,4,22,1.42466193903402,4.3,74.5,7.7
2024,4,23,3.69396039107577,6.6,60.3,5.3
2024,4,24,1.55851463810575,7.2,89,8
2024,4,25,1.83314633399107,8.3,69.5,4
2024,4,26,1.30384333225249,8.7,64.5,3
2024,4,27,1.73342274960537,11.2,74.3,5.3
2024,4,28,2.15351984478953,13.8,67.5,4
2024,4,29,2.30078427740876,17.8,59.8,3
2024,4,30,2.51506105321608,17.9,55.8,0.7
